District: 122 | Population: 17303
District: 16 | Population: 10549
District: 179 | Population: 9126
District: 108 | Population: 9023
District: 159 | Population: 8388
District: 173 | Population: 8036
District: 86 | Population: 7981
District: 117 | Population: 7754
District: 114 | Population: 7624
District: 130 | Population: 6845
District: 133 | Population: 6528
District: 147 | Population: 6386
District: 35 | Population: 6365
District: 151 | Population: 6290
District: 158 | Population: 6217
District: 103 | Population: 6066
District: 132 | Population: 5794
District: 141 | Population: 5542
District: 169 | Population: 5486
District: 361 | Population: 5441
District: 339 | Population: 5307
District: 66 | Population: 5276
District: 135 | Population: 5063
District: 143 | Population: 5015
District: 64 | Population: 4976
District: 205 | Population: 4950
District: 70 | Population: 4944
District: 517 | Population: 4832
District: 192 | Population: 4826
District: 140 | Population: 4683
District: 76 | Population: 4530
District: 245 | Population: 4428
District: 134 | Population: 4376
District: 121 | Population: 4358
District: 97 | Population: 4305
District: 157 | Population: 4005
District: 113 | Population: 3942
District: 237 | Population: 3806
District: 175 | Population: 3732
District: 153 | Population: 3659
District: 185 | Population: 3649
District: 181 | Population: 3639
District: 200 | Population: 3537
District: 287 | Population: 3527
District: 198 | Population: 3481
District: 138 | Population: 3446
District: 74 | Population: 3442
District: 110 | Population: 3321
District: 85 | Population: 3268
District: 236 | Population: 3223
District: 371 | Population: 3124
District: 267 | Population: 3107
District: 129 | Population: 3094
District: 69 | Population: 3078
District: 310 | Population: 3049
District: 170 | Population: 3040
District: 227 | Population: 3024
District: 73 | Population: 2882
District: 249 | Population: 2796
District: 79 | Population: 2772
District: 155 | Population: 2656
District: 21 | Population: 2652
District: 80 | Population: 2614
District: 111 | Population: 2609
District: 326 | Population: 2606
District: 58 | Population: 2584
District: 93 | Population: 2577
District: 204 | Population: 2564
District: 183 | Population: 2548
District: 72 | Population: 2545
District: 518 | Population: 2502
District: 115 | Population: 2492
District: 315 | Population: 2464
District: 341 | Population: 2459
District: 165 | Population: 2422
District: 99 | Population: 2403
District: 340 | Population: 2320
District: 131 | Population: 2300
District: 59 | Population: 2182
District: 61 | Population: 2177
District: 53 | Population: 2174
District: 247 | Population: 2166
District: 162 | Population: 2143
District: 171 | Population: 2134
District: 123 | Population: 2084
District: 188 | Population: 2076
District: 163 | Population: 2056
District: 241 | Population: 2041
District: 28 | Population: 2039
District: 160 | Population: 2022
District: 167 | Population: 2022
District: 370 | Population: 1985
District: 150 | Population: 1980
District: 88 | Population: 1967
District: 216 | Population: 1951
District: 270 | Population: 1950
District: 148 | Population: 1915
District: 90 | Population: 1902
District: 364 | Population: 1893
District: 262 | Population: 1890
District: 78 | Population: 1873
District: 269 | Population: 1861
District: 94 | Population: 1845
District: 379 | Population: 1832
District: 26 | Population: 1797
District: 120 | Population: 1792
District: 291 | Population: 1791
District: 136 | Population: 1790
District: 145 | Population: 1773
District: 191 | Population: 1769
District: 515 | Population: 1767
District: 18 | Population: 1754
District: 67 | Population: 1750
District: 164 | Population: 1710
District: 256 | Population: 1692
District: 30 | Population: 1688
District: 96 | Population: 1674
District: 77 | Population: 1666
District: 126 | Population: 1637
District: 378 | Population: 1634
District: 139 | Population: 1625
District: 288 | Population: 1624
District: 193 | Population: 1620
District: 294 | Population: 1615
District: 106 | Population: 1598
District: 246 | Population: 1585
District: 210 | Population: 1565
District: 25 | Population: 1533
District: 266 | Population: 1529
District: 51 | Population: 1526
District: 304 | Population: 1520
District: 255 | Population: 1495
District: 40 | Population: 1488
District: 254 | Population: 1487
District: 29 | Population: 1487
District: 127 | Population: 1484
District: 238 | Population: 1479
District: 4 | Population: 1474
